"f_proposer_index","f_slot","f_graffiti","f_pool_name"
274403,4725052,"Rocket Pool ⚡️Allnodes","rocket_pool"
265043,4725071,"RP-GL v1.6.2 (all in baby)","rocket_pool"
331602,4725128,"RP-GN v1.6.2 gw:648492ffbf70","rocket_pool"
312972,4725387,"RP-GN v1.6.2 gw:675479ff9772","rocket_pool"
412642,4725484,"Rocket Pool ⚡️Allnodes","rocket_pool"
302990,4725503,"Rocket Pool ⚡️Allnodes","rocket_pool"
262929,4725509,"RP-NN v1.6.3 gw:653466ff7a39","rocket_pool"
329474,4725530,"RP-GL v1.6.3 (-[ZZZ00ZZZ]-)","rocket_pool"
267918,4725695,"RP-GL v1.6.3 gw:664508ffd58f","rocket_pool"
268264,4725727,"RP-XL v1.6.3 (poop)","rocket_pool"
411847,4725845,"Rocket Pool ⚡️Allnodes","rocket_pool"
325118,4725924,"RP-GN v1.6.2 gw:675463ffd58f","rocket_pool"
289568,4726042,"RP-GL v1.6.3","rocket_pool"
314838,4726154,"RP-GN v1.6.2 gw:656485ffe1c6","rocket_pool"
263681,4726193,"RP-BN v1.6.3 (SUDI)","rocket_pool"
268336,4726311,"RP-GN v1.6.3 (BakedEnt da king)","rocket_pool"
314519,4726329,"Rocket Pool ⚡️Allnodes","rocket_pool"
314854,4726379,"RP-GN v1.6.2 gw:645493ffae4c","rocket_pool"
405822,4726383,"RP-XT v1.6.3","rocket_pool"
405845,4726599,"RP-XT v1.6.3","rocket_pool"
314359,4726606,"RP-GN v1.6.2 gw:674473ff9272","rocket_pool"
409548,4726645,"RP-NL v1.6.3 (!mpl!cat!ons)","rocket_pool"
369972,4726868,"RP-GL v1.6.3 (cypherhunk)","rocket_pool"
261365,4726975,"RP-XL v1.6.3","rocket_pool"
264781,4726988,"RP-BL v1.6.3 (thefutureisblack)","rocket_pool"
269463,4727006,"RP-GP v1.6.3","rocket_pool"
263384,4727159,"RP-NL v1.6.3 (sonicbank.io)","rocket_pool"
313250,4727202,"RP-GL v1.6.3","rocket_pool"
285350,4727252,"RP-GL v1.6.3","rocket_pool"
285315,4727337,"RP-NN v1.6.3 (meek was here)","rocket_pool"
324532,4727489,"RP-GL v1.6.2 (I'm a noob)","rocket_pool"
395745,4727557,"RP-XT v1.6.3","rocket_pool"
350119,4727719,"RP-GL v1.6.3","rocket_pool"
260698,4727786,"RP-GL v1.6.3","rocket_pool"
262948,4727847,"RP-GL v1.6.3","rocket_pool"
301595,4727887,"RP-GL v1.6.3","rocket_pool"
299499,4727902,"RP-GL v1.6.3","rocket_pool"
395813,4727966,"RP-XT v1.6.3","rocket_pool"
282934,4727993,"RP-GL v1.6.2 (SigP 4 Lyfe)","rocket_pool"
313008,4728042,"RP-GN v1.6.2 gw:644473ffd590","rocket_pool"
369334,4728049,"RP-GL v1.6.2","rocket_pool"
282507,4728058,"RP-GL v1.6.2","rocket_pool"
411316,4728063,"RP-XT v1.6.3","rocket_pool"
429208,4728090,"RP-NN v1.6.3 (<3 Ali&Adrienne)","rocket_pool"
326534,4728142,"RP-GN v1.6.2 gw:677493ffac7c","rocket_pool"
299514,4728220,"RP-GL v1.6.3","rocket_pool"
422053,4728287,"RP-XT v1.6.3","rocket_pool"
313898,4728330,"RP-GN v1.6.2 gw:683480ff9b7a","rocket_pool"
299995,4728361,"RP-XT v1.6.3","rocket_pool"
395834,4728394,"RP-XT v1.6.3","rocket_pool"
331944,4728396,"Rocket Pool ⚡️Allnodes","rocket_pool"
312402,4728426,"RP-GL v1.6.3","rocket_pool"
404596,4728451,"Avado Teku","rocket_pool"
296839,4728518,"RP-GL v1.6.3","rocket_pool"
367746,4728597,"RP-GP v1.6.3 (CloudStruct)","rocket_pool"
263693,4728646,"RP-NN v1.6.3 gw:686492ff9257","rocket_pool"
293808,3548051,"RP-L v1.2.4 (RocketPoolRocket)","rocket_pool"
296815,3548086,"RP-T v1.2.3 (Mr Fox)","rocket_pool"
275936,3548098,"RP-L v1.2.4 (FootDogHotLong)","rocket_pool"
323019,3548107,"RP-N v1.2.4","rocket_pool"
303847,3548176,"RP-L v1.2.4","rocket_pool"
314857,3548186,"RP-N v1.2.4","rocket_pool"
260651,3548298,"RP-P 1.3.0","rocket_pool"
313424,3548497,"RP-L v1.2.3","rocket_pool"
315218,3548558,"RP-T v1.2.3","rocket_pool"
293619,3548599,"RP-L v1.2.3 (RP4LIFE)","rocket_pool"
332037,3548605,"RP-L 1.3.0","rocket_pool"
275831,3548650,"RP-N v1.2.4","rocket_pool"
261731,3548667,"RP-N v1.2.4","rocket_pool"
275818,3548770,"RP-N v1.2.4","rocket_pool"
262817,3548815,"RP-L v1.2.1","rocket_pool"
266942,3548894,"RP-T 1.3.0","rocket_pool"
267022,3548918,"RP-P v1.2.0","rocket_pool"
274808,3548992,"RP-L 1.3.0 (allsilent)","rocket_pool"
261264,3549008,"RP-L 1.3.0","rocket_pool"
272658,3549050,"Rocket Pool ⚡️Allnodes","rocket_pool"
295918,3549111,"RP-T v1.2.1 (JUDGE)","rocket_pool"
268280,3549120,"Rocket Pool ⚡️Allnodes","rocket_pool"
267725,3549178,"Rocket Pool ⚡️Allnodes","rocket_pool"
305009,3549232,"RP-L v1.2.4","rocket_pool"
